Email,Name
candidateemail1@testemail1.com,Петя Петров
candidateemail2@testemail2.com,Маша Иванова
candidateemail3@testemail3.com,Коля Смирнов
candidateemail4@testemail4.com,Саша Сидоров
candidateemail5@testemail5.com,Ася Галочкина
candidateemail6@testemail6.com,Аня Синичкина
candidateemail7@testemail7.com,Олег Газонов
candidateemail8@testemail8.com,Витя Полевой
candidateemail9@testemail9.com,Юра Березов
candidateemail10@testemail10.com,Таня Удачева
candidateemail11@testemail11.com,Полина Акимова
candidateemail12@testemail12.com,Наташа Озерова
candidateemail13@testemail13.com,Дима Лесной
candidateemail14@testemail14.com,Максим Юрьев
candidateemail15@testemail15.com,Катя Ульянцева
candidateemail16@testemail16.com,Люда Пенкина
candidateemail17@testemail17.com,Игорь Александров
candidateemail18@testemail18.com,Данила Днепров
candidateemail19@testemail19.com,Юля Городовая
candidateemail20@testemail20.com,Кристина Листова
